meshblock,MB_CATEGORY_2021,LGA_CODE_2018,LGA_NAME_2018,flag_new_code_2021,reason,MMM_remoteness,SA3_code,SA3_title,SA2_code,SA2_title,lookup,tertiary_region,secondary_region,top_level_region,2011_lookup,2016_lookup,locality_name,tertiary_2011,secondary_2011,top_2011,overall_map
10309860000,Parkland,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10310310000,Other,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10310320000,Other,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10310330000,Other,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10310340000,Other,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10310350000,Primary Production,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
11204634100,Other,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
11205382200,Other,13310,Goulburn Mulwaree (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100701,,Braidwood Region,Bungendore - Braidwood & Regions,10102100701,10102100701,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10576170000,Primary Production,16490,Queanbeyan-Palerang Regional (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100702,,Braidwood Region,Bungendore - Braidwood & Regions,10102100702,10102100702,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10576190000,Primary Production,16490,Queanbeyan-Palerang Regional (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100702,,Braidwood Region,Bungendore - Braidwood & Regions,10102100702,10102100702,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10576210000,Primary Production,16490,Queanbeyan-Palerang Regional (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100702,,Braidwood Region,Bungendore - Braidwood & Regions,10102100702,10102100702,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10576220000,Primary Production,16490,Queanbeyan-Palerang Regional (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100702,,Braidwood Region,Bungendore - Braidwood & Regions,10102100702,10102100702,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
10576300000,Primary Production,16490,Queanbeyan-Palerang Regional (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100702,,Braidwood Region,Bungendore - Braidwood & Regions,10102100702,10102100702,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
11205019700,Primary Production,16490,Queanbeyan-Palerang Regional (A),2011,rural,5,10102,Queanbeyan,101021007,Braidwood,10102100702,,Braidwood Region,Bungendore - Braidwood & Regions,10102100702,10102100702,Braidwood Region,,Braidwood Region,Bungendore - Braidwood & Regions,map
